VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,ground_truth_mass_medium,ground_truth_mass_small,calculated_swcs_large,calculated_swcs_medium,calculated_swcs_small,swcs_bkg
135,small,low,135,Low Density,4.415625,1.589625,0.17662500000000003,50.31924986198855,46.17485162572855,45.09182149681671,44.969875598531345
135,small,low,135,Medium Density,8.83125,3.17925,0.35325000000000006,59.44991330553644,49.42215857529925,45.220981746858556,44.969875598531345
135,small,low,135,High Density,17.6625,6.3585,0.7065000000000001,144.3450688653286,71.44809294611002,45.31359072705371,44.969875598531345
135,small,normal,135,Low Density,35.325,12.717,1.4130000000000003,289.0679578089529,132.51046021799573,52.83710285563171,44.969875598531345
135,small,normal,135,Medium Density,70.65,25.434,2.8260000000000005,339.68683106581807,163.6326403587737,63.648748388715546,44.969875598531345
135,small,normal,135,High Density,141.3,50.868,5.652000000000001,381.29287407427387,191.60780738713953,72.20014376140361,44.969875598531345
135,medium,low,135,Low Density,4.415625,1.589625,0.17662500000000003,68.07342565003032,65.38769417214894,63.90508983257109,63.829652446479145
135,medium,low,135,Medium Density,8.83125,3.17925,0.35325000000000006,79.89855224114018,72.5904344725775,64.08586358994833,63.829652446479145
135,medium,low,135,High Density,17.6625,6.3585,0.7065000000000001,179.78276233118822,91.32733863318208,64.38424538507873,63.829652446479145
135,medium,normal,135,Low Density,35.325,12.717,1.4130000000000003,303.2649814322393,147.61021016683537,70.25888950176503,63.829652446479145
135,medium,normal,135,Medium Density,70.65,25.434,2.8260000000000005,355.18236610331667,183.0595058246806,79.17521177619028,63.829652446479145
135,medium,normal,135,High Density,141.3,50.868,5.652000000000001,398.36985170216485,209.77377945076884,89.25062642268617,63.829652446479145
135,large,low,135,Low Density,4.415625,1.589625,0.17662500000000003,90.10066717280728,87.01081459275113,86.1006935203489,85.88817027949261
135,large,low,135,Medium Density,8.83125,3.17925,0.35325000000000006,101.42849586716278,91.60158288749588,86.09860149597142,85.88817027949261
135,large,low,135,High Density,17.6625,6.3585,0.7065000000000001,188.77701760394578,115.16826859466283,86.47782237741893,85.88817027949261
135,large,normal,135,Low Density,35.325,12.717,1.4130000000000003,321.7170264438367,175.1880990515898,94.71276132155614,85.88817027949261
135,large,normal,135,Medium Density,70.65,25.434,2.8260000000000005,377.9625041438872,206.34061034368523,104.95990276681036,85.88817027949261
135,large,normal,135,High Density,141.3,50.868,5.652000000000001,418.30668315159056,229.46130337413086,113.35186799668978,85.88817027949261
