VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,calculated_swcs_large,calculated_swcs_medium,calculated_swcs_small,swcs_bkg
80,large,low,80,Low Density,4.415625,32.69287527336093,1.589625,76.52968126263565,0.176625,13.045748597094256,147.68490840977987,129.03316723992452,68.77709991683952,17.219623828126213
80,large,low,80,Medium Density,8.83125,32.94954004438939,3.17925,18.672999589805798,0.35325,23.200603422945555,157.54447124206888,157.57574268046488,76.46040655388482,17.219623828126213
80,large,low,80,High Density,17.6625,26.09525439383055,6.3585,73.31243035574013,0.7065,15.014919620026884,222.3024230390563,174.5766235375146,74.61274789431533,17.219623828126213
80,large,normal,80,Low Density,35.325,81.05643558939718,12.717,49.50410365284242,1.413,13.45956651235516,349.8489901811058,200.27754907608846,124.16339605244667,17.219623828126213
80,large,normal,80,Medium Density,70.65,82.40825404458373,25.434,38.439876554741744,2.826,23.00361961816348,387.76752450237376,219.97819007680502,115.2431596768453,17.219623828126213
80,large,normal,80,High Density,141.3,156.33637913411584,50.868,92.8296216478931,5.652,16.05675566266112,398.24039377389323,265.1768574961579,99.50195432459881,17.219623828126213
100,small,low,100,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,21.930096827516152,20.37260851246464,17.704977242370344,15.63606913327985
100,small,low,100,Medium Density,8.83125,2.067145349010095,3.17925,0.0,0.35325,0.0,37.84528357507203,25.22711311517058,18.034596386118277,15.63606913327985
100,small,low,100,High Density,17.6625,15.474266339419872,6.3585,4.376121362317693,0.7065,0.0,135.85355486729992,47.009528165526085,19.27518887434105,15.63606913327985
100,small,normal,100,Low Density,35.325,37.54746882976024,12.717,13.936397085024975,1.413,1.199016706816363,264.7575972377949,113.86517742968664,26.743403324359555,15.63606913327985
100,small,normal,100,Medium Density,70.65,72.24220467349603,25.434,27.072001611028874,2.826,2.3140443206431742,320.0439031722014,140.890436273602,34.750234888411754,15.63606913327985
100,small,normal,100,High Density,141.3,144.5162672788157,50.868,50.86408433203472,5.652,6.076176451451039,360.27462594375464,163.81298204867585,48.55147945108306,15.63606913327985
100,medium,low,100,Low Density,4.415625,7.046082439538399,1.589625,0.0,0.176625,0.0,52.76506859898143,37.424844662423055,31.710183954057456,22.193625513752288
100,medium,low,100,Medium Density,8.83125,10.814797760163652,3.17925,3.3121719228455015,0.35325,0.0,61.720757929561195,53.292812651882834,35.39918127074529,22.193625513752288
100,medium,low,100,High Density,17.6625,17.957464920582538,6.3585,6.344593284243674,0.7065,0.0,152.2048579330209,70.65101737948243,31.175710898425,22.193625513752288
100,medium,normal,100,Low Density,35.325,38.58422756805401,12.717,18.34820494620599,1.413,1.5309221042142633,270.6021140893158,142.69889478366645,41.31930668659203,22.193625513752288
100,medium,normal,100,Medium Density,70.65,77.34603302648442,25.434,26.50630083195135,2.826,4.46408861580407,334.37760213986815,147.2737081338903,57.23410862667271,22.193625513752288
100,medium,normal,100,High Density,141.3,145.56718795801098,50.868,56.32454807050278,5.652,6.076718611166873,368.93268511590617,181.1493703349441,55.06603515701822,22.193625513752288
100,large,low,100,Low Density,4.415625,26.064882362944687,1.589625,10.995179177015384,0.176625,14.696338323422427,93.04236209664779,111.92458848681784,77.49682137608144,29.86338616499686
100,large,low,100,Medium Density,8.83125,57.98887046921307,3.17925,26.20398300263853,0.35325,11.710428299455039,134.32276645329551,121.07061677799553,67.85376516067275,29.86338616499686
100,large,low,100,High Density,17.6625,20.75248201432493,6.3585,46.40464925494272,0.7065,5.330497696555698,177.13879256098164,140.43120620120158,62.05921255873254,29.86338616499686
100,large,normal,100,Low Density,35.325,41.6874780228494,12.717,76.9327110007495,1.413,12.250824186909668,293.5533383829767,172.38218687397708,74.02263127615547,29.86338616499686
100,large,normal,100,Medium Density,70.65,79.7202306528965,25.434,60.47312230038391,2.826,10.202853671439566,361.0475889961106,209.76301372528638,101.16920975866532,29.86338616499686
100,large,normal,100,High Density,141.3,155.58031091188516,50.868,65.88125422580984,5.652,30.39203212983993,414.376821185019,245.35902294491325,93.98681852751685,29.86338616499686
120,small,low,120,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,32.25861727661098,30.13561862503292,27.964892185016147,26.715244895938195
