cal,VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
3pt,80,medium,normal,80,Medium Density,70.65,70.8734875673479,25.434,26.229792690549267,2.826,2.9108654349972403,-0.39064640601795025
3pt,80,medium,normal,80,High Density,141.3,142.3778842286881,50.868,52.20652896935973,5.652,5.2825444225234435,-0.39064640601795025
3pt,80,large,low,80,Low Density,4.415625,7.072254490165145,1.589625,1.020090962167375,0.176625,-0.03466243491899642,0.6801484075381176
3pt,80,large,low,80,Medium Density,8.83125,10.067966340163617,3.17925,2.815601741099731,0.35325,0.43676489572234,0.6801484075381176
3pt,80,large,low,80,High Density,17.6625,18.77968757192628,6.3585,5.147000539722081,0.7065,0.13714601987492464,0.6801484075381176
3pt,80,large,normal,80,Low Density,35.325,35.006329680673666,12.717,12.763598412020006,1.413,1.716185503726171,0.8692985970280257
3pt,80,large,normal,80,Medium Density,70.65,69.93147960407228,25.434,25.82721374761299,2.826,3.5685097857624037,0.8692985970280257
3pt,80,large,normal,80,High Density,141.3,139.01467075753933,50.868,49.63446126910364,5.652,5.915679790272358,0.8692985970280257
3pt,100,small,low,100,Low Density,4.415625,2.514670500579003,1.589625,2.1960562977885894,0.176625,0.4135697112305903,-0.2734914357728541
3pt,100,small,low,100,Medium Density,8.83125,9.769840367065642,3.17925,3.4410023055846626,0.35325,0.4104650590452682,-0.2734914357728541
3pt,100,small,low,100,High Density,17.6625,18.36175045392929,6.3585,6.381928388419592,0.7065,0.9792916199253903,-0.2734914357728541
3pt,100,small,normal,100,Low Density,35.325,37.97109573031959,12.717,13.471335830515017,1.413,2.134772770048163,-0.179571603555435
3pt,100,small,normal,100,Medium Density,70.65,73.19297547533968,25.434,26.184454817566372,2.826,3.5013595488367812,-0.179571603555435
3pt,100,small,normal,100,High Density,141.3,145.64659629105265,50.868,52.7115154414131,5.652,5.76526643771323,-0.179571603555435
3pt,100,medium,low,100,Low Density,4.415625,5.2922518366900295,1.589625,1.3118921054802373,0.176625,0.712921838450876,0.3435328995820659
3pt,100,medium,low,100,Medium Density,8.83125,9.350205730575281,3.17925,2.910010771226956,0.35325,0.47239024957855325,0.3435328995820659
3pt,100,medium,low,100,High Density,17.6625,17.571455680556607,6.3585,6.6966616439705025,0.7065,0.48517322725403456,0.3435328995820659
3pt,100,medium,normal,100,Low Density,35.325,37.42689754556158,12.717,12.73120780381987,1.413,1.2456801781737195,-0.02029133733232026
3pt,100,medium,normal,100,Medium Density,70.65,70.01983644163397,25.434,24.671570768414,2.826,2.97953550313097,-0.02029133733232026
3pt,100,medium,normal,100,High Density,141.3,141.07733745395367,50.868,51.502383570065696,5.652,5.207444914005383,-0.02029133733232026
3pt,100,large,low,100,Low Density,4.415625,3.2872726954546696,1.589625,1.9023289635343534,0.176625,-0.10841997470507754,-0.4757181228841536
3pt,100,large,low,100,Medium Density,8.83125,8.758588640920605,3.17925,2.738605507293496,0.35325,-0.014327245606114179,-0.4757181228841536
3pt,100,large,low,100,High Density,17.6625,17.572980415855117,6.3585,6.513583801368478,0.7065,0.5212969416861045,-0.4757181228841536
3pt,100,large,normal,100,Low Density,35.325,36.27751590674327,12.717,12.083505755818543,1.413,1.5614993726529467,-0.9415512193385901
3pt,100,large,normal,100,Medium Density,70.65,70.34890449759838,25.434,25.718732390665593,2.826,3.053284392569228,-0.9415512193385901
3pt,100,large,normal,100,High Density,141.3,139.02120736399297,50.868,49.673196821512306,5.652,5.931918089533836,-0.9415512193385901
3pt,120,small,low,120,Low Density,4.415625,4.169015126307079,1.589625,0.8963673077581152,0.176625,0.02908116499855497,-0.3744070793327443
3pt,120,small,low,120,Medium Density,8.83125,8.058551343854099,3.17925,2.488847354968634,0.35325,0.4980328627318139,-0.3744070793327443
3pt,120,small,low,120,High Density,17.6625,17.31112282326788,6.3585,7.366658169238896,0.7065,0.4505004872113551,-0.3744070793327443
3pt,120,small,normal,120,Low Density,35.325,38.15989351995182,12.717,13.960655708925763,1.413,1.8082079955785382,-0.3478713804068851
3pt,120,small,normal,120,Medium Density,70.65,73.91282098662718,25.434,26.69973056647804,2.826,3.1829098997590517,-0.3478713804068851
3pt,120,small,normal,120,High Density,141.3,145.29666841231423,50.868,51.81721601698764,5.652,5.687165757354177,-0.3478713804068851
