blur,VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
0.0,100,medium,low,100,High Density,17.6625,16.22619453686131,6.3585,6.188103900897027,0.7065,0.4482225622745011,0.2891711634345754
0.0,100,medium,normal,100,Low Density,35.325,38.65115244732311,12.717,13.15359804993668,1.413,1.2871892278944432,-0.020956882204935523
0.0,100,medium,normal,100,Medium Density,70.65,70.6036370168354,25.434,24.881080422480366,2.826,3.004464091796427,-0.020956882204935523
0.0,100,medium,normal,100,High Density,141.3,140.6108341951614,50.868,51.333289234890266,5.652,5.19024912027339,-0.020956882204935523
0.0,100,large,low,100,Low Density,4.415625,2.624198241490322,1.589625,1.52642371572,0.176625,-0.08708176155916819,-0.38051551858088134
0.0,100,large,low,100,Medium Density,8.83125,7.5827872261216065,3.17925,2.3681604816965725,0.35325,-0.012403719938460317,-0.38051551858088134
0.0,100,large,low,100,High Density,17.6625,15.828187603586432,6.3585,5.866800265803875,0.7065,0.4692669896470862,-0.38051551858088134
0.0,100,large,normal,100,Low Density,35.325,37.099873193098894,12.717,12.360351367228683,1.413,1.5975123340635051,-0.9633192563161356
0.0,100,large,normal,100,Medium Density,70.65,71.28864357836915,25.434,26.064222010329917,2.826,3.09452344257444,-0.9633192563161356
0.0,100,large,normal,100,High Density,141.3,140.27147843273815,50.868,50.11945373209128,5.652,5.985115968845654,-0.9633192563161356
0.0,120,small,low,120,Low Density,4.415625,3.3869008248547745,1.589625,0.730755966970653,0.176625,0.023684165323413376,-0.3045661742840671
0.0,120,small,low,120,Medium Density,8.83125,7.057717494012856,3.17925,2.182159676800814,0.35325,0.43709303053686493,-0.3045661742840671
0.0,120,small,low,120,High Density,17.6625,15.785614625830181,6.3585,6.722184495208814,0.7065,0.4108906044469741,-0.3045661742840671
0.0,120,small,normal,120,Low Density,35.325,37.303301872964376,12.717,13.63884676438144,1.413,1.7669540179285477,-0.3399981846098877
0.0,120,small,normal,120,Medium Density,70.65,71.67517058513228,25.434,25.881718789236626,2.826,3.0869495634758555,-0.3399981846098877
0.0,120,small,normal,120,High Density,141.3,140.36311438776247,50.868,50.0570767640044,5.652,5.494486855273244,-0.3399981846098877
0.0,120,medium,low,120,Low Density,4.415625,3.558998684922709,1.589625,1.576314878169959,0.176625,0.12721187131292075,0.04483587708485882
0.0,120,medium,low,120,Medium Density,8.83125,8.715830524583176,3.17925,1.9583488008888772,0.35325,0.2814318585717796,0.04483587708485882
0.0,120,medium,low,120,High Density,17.6625,15.572015899006644,6.3585,6.010993125457022,0.7065,0.7488749591826457,0.04483587708485882
0.0,120,medium,normal,120,Low Density,35.325,37.08618265846081,12.717,13.389053922338338,1.413,1.3794950427498318,-0.07107318135487879
0.0,120,medium,normal,120,Medium Density,70.65,70.87968592734097,25.434,25.92765983392681,2.826,3.0694224094215485,-0.07107318135487879
