VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
120,small,low,120,Medium Density,8.83125,9.338492800259838,3.17925,3.3611002922448465,0.35325000000000006,0.8819788021493299,0.03953923164094469
120,small,low,120,High Density,17.6625,18.072416916043366,6.3585,6.983657955739462,0.7065000000000001,0.7810816676476368,-0.048108694208537195
120,small,normal,120,Low Density,35.325,36.58507773274038,12.717,13.23945383905484,1.4130000000000003,1.2608819382327523,-0.30309268145451396
120,small,normal,120,Medium Density,70.65,71.52420321278838,25.434,26.602242501823685,2.8260000000000005,3.3650348282480738,-0.1818093005276391
120,small,normal,120,High Density,141.3,142.081832586947,50.868,51.1309428394012,5.652000000000001,5.842795584223989,-0.011765594506244943
120,medium,low,120,Low Density,4.415625,6.031592337263681,1.589625,2.0127331058957743,0.17662500000000003,0.4331059625158966,1.4324056814819202
120,medium,low,120,Medium Density,8.83125,8.046631455798705,3.17925,3.9421706789487567,0.35325000000000006,0.5827068878934277,1.7082521932302406
120,medium,low,120,High Density,17.6625,18.191377100203425,6.3585,5.746057586743145,0.7065000000000001,0.1875326184206011,0.3898944902580379
120,medium,normal,120,Low Density,35.325,36.49374167276072,12.717,13.519285570360617,1.4130000000000003,1.474711246225842,-0.8037222146006471
120,medium,normal,120,Medium Density,70.65,71.16857037236167,25.434,25.420762282009353,2.8260000000000005,3.125394157413313,-0.48086500414699734
120,medium,normal,120,High Density,141.3,141.49883908620865,50.868,50.81530402614729,5.652000000000001,5.034141318342989,-0.08759212336001132
120,large,low,120,Low Density,4.415625,4.4188255204449,1.589625,1.3147918465833568,0.17662500000000003,0.06322832160502555,0.1750167474172808
120,large,low,120,Medium Density,8.83125,9.319051636682081,3.17925,3.705585626468656,0.35325000000000006,0.2179564055052076,1.2282970528985149
120,large,low,120,High Density,17.6625,18.370070730909138,6.3585,5.890230136068872,0.7065000000000001,0.9472658016368535,0.46873944693201275
120,large,normal,120,Low Density,35.325,35.732311909720586,12.717,13.35580480952962,1.4130000000000003,1.1797198530401285,-0.6400512426400646
120,large,normal,120,Medium Density,70.65,70.47048413236014,25.434,25.3606154593964,2.8260000000000005,3.238961724278911,-0.13696112061199303
120,large,normal,120,High Density,141.3,140.86106850470534,50.868,50.4571838507805,5.652000000000001,5.688672651331974,0.11138427356364443
135,small,low,135,Low Density,4.415625,4.863694605542158,1.589625,1.555254266895111,0.17662500000000003,0.11782382842518097,-0.2038252903434423
135,small,low,135,Medium Density,8.83125,7.972840221737492,3.17925,3.103151878975992,0.35325000000000006,0.38849661366015065,-1.5594726885138739
135,small,low,135,High Density,17.6625,17.903601330597834,6.3585,5.977962645932402,0.7065000000000001,0.5769858823697017,-0.31599519359070366
135,small,normal,135,Low Density,35.325,36.71839155376953,12.717,13.214207514820698,1.4130000000000003,1.66189732910833,-0.5933078540727759
135,small,normal,135,Medium Density,70.65,70.25492068132432,25.434,25.613356542080357,2.8260000000000005,2.9612136859423748,-0.4718539641042355
135,small,normal,135,High Density,141.3,143.50953379282691,50.868,51.402326760775445,5.652000000000001,5.26358284145061,-0.14791801313013667
135,medium,low,135,Low Density,4.415625,4.702317884820464,1.589625,1.7780204879225598,0.17662500000000003,-0.03608914653221938,-1.6821607753264034
135,medium,low,135,Medium Density,8.83125,7.925085817536884,3.17925,3.5156152571500687,0.35325000000000006,0.36833571812352206,-0.8233837535038759
135,medium,low,135,High Density,17.6625,19.02143322588384,6.3585,6.999221710581063,0.7065000000000001,0.249216746352646,-0.2414813016588675
135,medium,normal,135,Low Density,35.325,36.39991945340315,12.717,12.362931773648876,1.4130000000000003,1.3606490610624988,-0.36103161153924307
135,medium,normal,135,Medium Density,70.65,70.82725697035282,25.434,25.21923160928415,2.8260000000000005,2.696866045289653,-0.8593627582558144
135,medium,normal,135,High Density,141.3,141.6209812945833,50.868,50.31732444237078,5.652000000000001,5.201898281153201,-0.2602790744317112
135,large,low,135,Low Density,4.415625,3.4227240958638094,1.589625,1.0797624510945354,0.17662500000000003,0.3399402929679565,1.4410648187500228
135,large,low,135,Medium Density,8.83125,9.753587422495075,3.17925,3.0366535392164584,0.35325000000000006,0.017073510453816162,1.8335122629558467
135,large,low,135,High Density,17.6625,18.453734485158314,6.3585,6.722194737597244,0.7065000000000001,0.6980141096217789,0.4341492601560572
135,large,normal,135,Low Density,35.325,34.62917941449481,12.717,13.37608169388826,1.4130000000000003,1.8075702564055423,-1.252495378048211
135,large,normal,135,Medium Density,70.65,69.54565866338936,25.434,25.568470004709628,2.8260000000000005,3.3534431270344616,-1.3926298582603982
135,large,normal,135,High Density,141.3,140.2161035451713,50.868,50.28245006154136,5.652000000000001,5.968559969050702,-0.3131449398135635
