VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
100,small,low,100,Medium Density,8.83125,8.69637129373702,3.17925,3.058569504845119,0.35325,0.14315965753818416,-0.11598709555000374
100,small,low,100,High Density,17.6625,17.283030403227084,6.3585,7.326663262084541,0.7065,0.8738227089668176,-0.11598709555000374
100,small,normal,100,Low Density,35.325,36.17858303351195,12.717,13.607179530979224,1.413,1.8702584174109642,0.16693980143287027
100,small,normal,100,Medium Density,70.65,70.46481373994251,25.434,25.92817944139376,2.826,3.431120213834409,0.16693980143287027
100,small,normal,100,High Density,141.3,138.00610581912846,50.868,50.78139641976784,5.652,6.1377034577311536,0.16693980143287027
100,medium,low,100,Low Density,4.415625,5.05207207639478,1.589625,1.6355604344126036,0.176625,-0.2131899471865223,0.1099463369020656
100,medium,low,100,Medium Density,8.83125,7.5245152865560145,3.17925,3.1925336528199515,0.35325,0.5260744192136014,0.1099463369020656
100,medium,low,100,High Density,17.6625,16.09960837213435,6.3585,6.357486577672692,0.7065,0.7279816006089868,0.1099463369020656
100,medium,normal,100,Low Density,35.325,37.5585889591765,12.717,13.943988030318963,1.413,1.5369383685025233,-0.5342033270791421
100,medium,normal,100,Medium Density,70.65,72.54660659263867,25.434,26.16441853063209,2.826,2.7992092659973484,-0.5342033270791421
100,medium,normal,100,High Density,141.3,140.4051588387815,50.868,50.97576238903513,5.652,5.552168009819056,-0.5342033270791421
100,large,low,100,Low Density,4.415625,5.791606513674605,1.589625,0.7414604805044861,0.176625,0.40414832278380236,0.12142798997072318
100,large,low,100,Medium Density,8.83125,8.603344325391442,3.17925,3.6232531419790734,0.35325,0.40069817530353147,0.12142798997072318
100,large,low,100,High Density,17.6625,16.90422088234257,6.3585,6.36033905036273,0.7065,0.8448630369274469,0.12142798997072318
100,large,normal,100,Low Density,35.325,36.89605423126491,12.717,14.294212228502396,1.413,2.038033397514281,-0.5164105607588054
100,large,normal,100,Medium Density,70.65,71.50844508325096,25.434,25.820716710040713,2.826,2.531477328032172,-0.5164105607588054
100,large,normal,100,High Density,141.3,139.25264121326072,50.868,50.780495537007376,5.652,5.9815064169728975,-0.5164105607588054
120,small,low,120,Low Density,4.415625,2.4030176508662837,1.589625,1.365696619177171,0.176625,0.06552844582308272,-0.2775815131091703
120,small,low,120,Medium Density,8.83125,7.567908517841772,3.17925,2.9559149272887226,0.35325,0.8671356925618611,-0.2775815131091703
120,small,low,120,High Density,17.6625,15.478118995964639,6.3585,6.106626655857515,0.7065,0.9425760351365515,-0.2775815131091703
120,small,normal,120,Low Density,35.325,37.63569818442544,12.717,13.525192528441133,1.413,1.2147945435983392,-0.030875005619156726
120,small,normal,120,Medium Density,70.65,71.40936494583342,25.434,26.6777027076324,2.826,3.372454709100093,-0.030875005619156726
120,small,normal,120,High Density,141.3,140.26223827510427,50.868,50.63203737103115,5.652,5.806615516663594,-0.030875005619156726
120,medium,low,120,Low Density,4.415625,6.425198540372925,1.589625,1.5940683633347632,0.176625,0.4924726850571875,0.46367208478448224
120,medium,low,120,Medium Density,8.83125,8.048214377099187,3.17925,3.758941643674648,0.35325,0.7536642440024495,0.46367208478448224
120,medium,low,120,High Density,17.6625,20.32615721493803,6.3585,6.438922979079701,0.7065,0.16655049932569885,0.46367208478448224
120,medium,normal,120,Low Density,35.325,37.03225328576749,12.717,13.971755317396157,1.413,1.4538933822620252,0.1049639583621007
120,medium,normal,120,Medium Density,70.65,71.51247804206018,25.434,25.781454058384284,2.826,2.866750214477081,0.1049639583621007
120,medium,normal,120,High Density,141.3,140.23326869179343,50.868,50.80056927888354,5.652,4.802639260453003,0.1049639583621007
120,large,low,120,Low Density,4.415625,4.403285891241622,1.589625,1.3593399959422567,0.176625,0.15158101001279675,0.7041766411038575
120,large,low,120,Medium Density,8.83125,9.758781892396456,3.17925,3.2976704791135734,0.35325,0.2815829079641769,0.7041766411038575
