VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,calculated_swcs_large,calculated_swcs_medium,calculated_swcs_small,swcs_bkg
100,small,low,100,Medium Density,8.83125,3.419562992190315,3.17925,1.5489326591550776,0.35325,0.0,45.938767217126646,29.97718256176126,17.20887720567702,15.63606913327985
100,small,low,100,High Density,17.6625,16.114808394478025,6.3585,5.17844163478073,0.7065,0.0,136.20115371422787,56.9794365257284,20.3855055455426,15.63606913327985
100,small,normal,100,Low Density,35.325,37.19471991590332,12.717,13.694327168599948,1.413,0.0,264.65014472261674,111.13382378283345,21.73377807068808,15.63606913327985
100,small,normal,100,Medium Density,70.65,72.60276852443491,25.434,26.09121140082229,2.826,3.069297945102856,316.7272509662997,142.05660102320923,37.59391558433105,15.63606913327985
100,small,normal,100,High Density,141.3,144.87144404017425,50.868,52.48746424436658,5.652,5.25107054971454,355.596036353816,168.90529600203348,43.52175697460526,15.63606913327985
100,medium,low,100,Low Density,4.415625,4.189311526903613,1.589625,11.169669607725996,0.176625,2.2273538510840942,60.36470940590416,65.39108019508474,39.46603282790706,22.193625513752288
100,medium,low,100,Medium Density,8.83125,24.81705256226547,3.17925,18.718594517650537,0.35325,2.5976655942562896,117.49162938381552,88.34526117800449,41.97567932569925,22.193625513752288
100,medium,low,100,High Density,17.6625,21.07307969110353,6.3585,8.002510040784058,0.7065,1.2831137399155046,177.2236709891257,85.33670385315786,33.520981263407776,22.193625513752288
100,medium,normal,100,Low Density,35.325,39.496507383313606,12.717,17.01659936102699,1.413,2.6524995147654993,284.3213834609355,149.00912814307117,43.28271058857921,22.193625513752288
100,medium,normal,100,Medium Density,70.65,74.82093578147118,25.434,31.15279136996672,2.826,4.684827388571836,329.255243508392,164.2094404175494,54.66259880145458,22.193625513752288
100,medium,normal,100,High Density,141.3,145.06530241657947,50.868,75.41827173639166,5.652,5.8375785596915595,364.11025901203317,199.06880692049867,51.04997785849336,22.193625513752288
100,large,low,100,Low Density,4.415625,52.622077920900175,1.589625,41.44455807968622,0.176625,26.468099526771653,108.88158646646775,132.50353028012742,97.62329038451722,29.86338616499686
100,large,low,100,Medium Density,8.83125,39.92166326132411,3.17925,43.53005177798602,0.35325,15.123346442825568,181.5501066454365,179.41894151773272,87.79378140882795,29.86338616499686
100,large,low,100,High Density,17.6625,28.898587311516614,6.3585,44.93629727241507,0.7065,7.675161556804943,226.6677631461621,195.77632410153237,80.86991903619571,29.86338616499686
100,large,normal,100,Low Density,35.325,42.06193610563737,12.717,42.5693246002703,1.413,4.966706253080954,297.3385267940977,173.72076738444918,63.18512402268146,29.86338616499686
100,large,normal,100,Medium Density,70.65,80.43865866941712,25.434,59.04861903067854,2.826,6.161135825909954,353.39144890549244,220.17430136499064,77.24692175164733,29.86338616499686
100,large,normal,100,High Density,141.3,148.82450197223494,50.868,63.18232069127076,5.652,21.84335974366354,405.1254650990071,235.01615069643225,98.93611959519285,29.86338616499686
120,small,low,120,Low Density,4.415625,0.0,1.589625,0.0,0.176625,0.0,38.2104198382518,30.230648361680867,28.85841565712223,26.715244895938195
120,small,low,120,Medium Density,8.83125,2.528677220605036,3.17925,1.595859402936311,0.35325,0.0,58.50234239760418,46.111542768205375,32.209829959945765,26.715244895938195
120,small,low,120,High Density,17.6625,16.65203293659139,6.3585,4.2302939728629205,0.7065,0.0,136.38834289382413,60.51871781572257,28.67985422671694,26.715244895938195
