VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
100,small,normal,100,Low Density,35.325,38.46673259803147,12.717,13.831380614252424,1.413,1.5973290130318896
100,small,normal,100,Medium Density,70.65,72.55921005482996,25.434,26.49826709280006,2.826,3.11340707648831
100,small,normal,100,High Density,141.3,141.263736735293,50.868,50.9579616842301,5.652,5.942002016506309
100,medium,low,100,Low Density,4.415625,3.8239576577213,1.589625,2.0079672912811697,0.176625,0.08946674735536742
100,medium,low,100,Medium Density,8.83125,9.087010286933078,3.17925,3.372049214248081,0.35325,0.44279082197802194
100,medium,low,100,High Density,17.6625,14.957336720476409,6.3585,5.547987998105832,0.7065,0.27386380863547466
100,medium,normal,100,Low Density,35.325,38.89004733010759,12.717,14.637666087402195,1.413,1.5997068539198487
100,medium,normal,100,Medium Density,70.65,72.11523426372086,25.434,27.02912421333433,2.826,3.229553202453207
100,medium,normal,100,High Density,141.3,141.32127931140545,50.868,51.49761136987875,5.652,5.038282496526732
100,large,low,100,Low Density,4.415625,3.5913666093309953,1.589625,1.7383389285298243,0.176625,0.028765381436468836
100,large,low,100,Medium Density,8.83125,4.821792026771405,3.17925,3.736995122285645,0.35325,0.6134844858989705
100,large,low,100,High Density,17.6625,14.950561296237595,6.3585,5.3762916914635275,0.7065,0.38106631130624224
100,large,normal,100,Low Density,35.325,39.375619235322915,12.717,14.753155651146074,1.413,1.5312769806359416
100,large,normal,100,Medium Density,70.65,70.0426612582276,25.434,27.04517038934754,2.826,3.6153900923758115
100,large,normal,100,High Density,141.3,141.68016038777407,50.868,51.58463988538867,5.652,5.760214677098958
120,small,low,120,Low Density,4.415625,3.869042173570545,1.589625,1.200395300698215,0.176625,0.08172879688715955
120,small,low,120,Medium Density,8.83125,7.4383986622301705,3.17925,2.9507592363095423,0.35325,0.23212143772671437
120,small,low,120,High Density,17.6625,14.946775242949716,6.3585,5.294926304451747,0.7065,0.661249379034797
120,small,normal,120,Low Density,35.325,38.67596279683933,12.717,13.885869538628965,1.413,1.602060271990605
120,small,normal,120,Medium Density,70.65,72.69292127675801,25.434,26.559385857922692,2.826,3.103206522538293
120,small,normal,120,High Density,141.3,141.33564228764754,50.868,50.94618976209535,5.652,5.939572339726028
120,medium,low,120,Low Density,4.415625,3.7712536097812945,1.589625,2.0343821668708806,0.176625,0.08087221205631334
120,medium,low,120,Medium Density,8.83125,9.120036081026603,3.17925,3.3860588131923643,0.35325,0.4477940069609977
120,medium,low,120,High Density,17.6625,14.777773150482327,6.3585,5.486478698933285,0.7065,0.24216416787172712
120,medium,normal,120,Low Density,35.325,39.18454297876241,12.717,14.775815439954608,1.413,1.6020133882668668
120,medium,normal,120,Medium Density,70.65,72.36131828724274,25.434,27.140859073961003,2.826,3.250610260016498
120,medium,normal,120,High Density,141.3,141.41891800913325,50.868,51.515059859904,5.652,4.993093604201521
120,large,low,120,Low Density,4.415625,3.53419989119622,1.589625,1.7518767384807856,0.176625,0.009212412631578947
120,large,low,120,Medium Density,8.83125,4.532391143818444,3.17925,3.7899363952107126,0.35325,0.632000361656221
120,large,low,120,High Density,17.6625,14.81475181674258,6.3585,5.299775373186619,0.7065,0.35006850494825725
120,large,normal,120,Low Density,35.325,39.74905884488386,12.717,14.926587020875923,1.413,1.5285016975609758
120,large,normal,120,Medium Density,70.65,70.05677757865544,25.434,27.189808474220275,2.826,3.6593569854452683
120,large,normal,120,High Density,141.3,141.7955789614392,50.868,51.58447384358688,5.652,5.728891993073369
135,small,low,135,Low Density,4.415625,3.8556787458645303,1.589625,1.1696962864366247,0.176625,0.08004829694230259
135,small,low,135,Medium Density,8.83125,7.391987908618323,3.17925,2.9452071008338856,0.35325,0.22585647958462443
135,small,low,135,High Density,17.6625,14.885962816319818,6.3585,5.267229071796953,0.7065,0.663034434314353
135,small,normal,135,Low Density,35.325,38.771286259175696,12.717,13.89535852773883,1.413,1.5951986515585248
135,small,normal,135,Medium Density,70.65,72.74402215813568,25.434,26.571794237352137,2.826,3.1002538466616283
135,small,normal,135,High Density,141.3,141.38136343998295,50.868,50.91862482852908,5.652,5.922284603989699
135,medium,low,135,Low Density,4.415625,3.7614930882533986,1.589625,2.059668747624356,0.176625,0.07639684978451139
135,medium,low,135,Medium Density,8.83125,9.19026695134468,3.17925,3.3984489431042086,0.35325,0.45216102305102696
135,medium,low,135,High Density,17.6625,14.714234559203755,6.3585,5.458480645222338,0.7065,0.230014816916602
135,medium,normal,135,Low Density,35.325,39.33363664292158,12.717,14.847305321931968,1.413,1.6033853821072475
