VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
120,medium,normal,120,Medium Density,70.65,71.77838587694026,25.434,26.918059378350314,2.826,3.2235099510189666
120,medium,normal,120,High Density,141.3,141.62523525833043,50.868,51.59024233635112,5.652,5.000382119348707
120,large,low,120,Low Density,4.415625,3.5745369339793083,1.589625,1.7715921567470223,0.176625,0.009317834605634826
120,large,low,120,Medium Density,8.83125,5.085994582435642,3.17925,4.23490952137733,0.35325,0.7085155283924096
120,large,low,120,High Density,17.6625,17.490054594219412,6.3585,6.259416888031157,0.7065,0.41424157465303124
120,large,normal,120,Low Density,35.325,37.967153219526566,12.717,14.268156183094451,1.413,1.459551344510273
120,large,normal,120,Medium Density,70.65,68.96356537628016,25.434,26.78482746464189,2.826,3.6027553890728643
120,large,normal,120,High Density,141.3,141.51718034925509,50.868,51.48287535376177,5.652,5.717463184058954
135,small,low,135,Low Density,4.415625,3.781082063026208,1.589625,1.1470163759652763,0.176625,0.07847835231439537
135,small,low,135,Medium Density,8.83125,8.029997668370644,3.17925,3.198774716653594,0.35325,0.24543438403107698
135,small,low,135,High Density,17.6625,17.0286223226121,6.3585,6.023577781921478,0.7065,0.7580358207429628
135,small,normal,135,Low Density,35.325,37.07521241880934,12.717,13.28426967867317,1.413,1.5240508167296007
135,small,normal,135,Medium Density,70.65,71.43225693941619,25.434,26.093458289046364,2.826,3.044001466300859
135,small,normal,135,High Density,141.3,140.56133052013772,50.868,50.6240892593043,5.652,5.888157751630179
135,medium,low,135,Low Density,4.415625,3.8055375777995133,1.589625,2.0832095680071965,0.176625,0.07729271051910591
135,medium,low,135,Medium Density,8.83125,10.332442439648052,3.17925,3.8279926132350965,0.35325,0.5101079641917698
135,medium,low,135,High Density,17.6625,17.517723668860516,6.3585,6.499002485510584,0.7065,0.2739288908193242
135,medium,normal,135,Low Density,35.325,38.11407361707423,12.717,14.399348870752968,1.413,1.5534926439229746
135,medium,normal,135,Medium Density,70.65,71.88656912319139,25.434,26.955775639229884,2.826,3.2349901980092484
135,medium,normal,135,High Density,141.3,141.65224440827487,50.868,51.56805231475455,5.652,4.970335450930872
135,large,low,135,Low Density,4.415625,3.5603501668859403,1.589625,1.7911428417280124,0.176625,0.0
135,large,low,135,Medium Density,8.83125,4.948133543931035,3.17925,4.284034976614116,0.35325,0.7221382089624955
135,large,low,135,High Density,17.6625,17.50967514585284,6.3585,6.257443967270113,0.7065,0.4094671498187057
135,large,normal,135,Low Density,35.325,38.065273708057106,12.717,14.321878064270482,1.413,1.449645321603172
135,large,normal,135,Medium Density,70.65,68.91163396156655,25.434,26.844715159532793,2.826,3.626903652956835
135,large,normal,135,High Density,141.3,141.5734365724074,50.868,51.47178333984616,5.652,5.694239821820597
