VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
120,medium,low,120,High Density,17.6625,16.539384559614,6.3585,6.589278451394285,0.7065000000000001,0.7836090550918197,-0.08731763699241904
120,medium,normal,120,Low Density,35.325,35.53468051839848,12.717,12.47895698233771,1.4130000000000003,1.3598443937595044,-1.508951339822467
120,medium,normal,120,Medium Density,70.65,70.9227858608842,25.434,25.11663223640194,2.8260000000000005,2.8875473335498008,-0.9838934868138346
120,medium,normal,120,High Density,141.3,141.05637041334379,50.868,51.07025197357986,5.652000000000001,5.484938843250193,-0.19999600085621766
120,large,low,120,Low Density,4.415625,4.720156027395342,1.589625,1.5687313699506555,0.17662500000000003,0.4299495564853425,1.020984682911968
120,large,low,120,Medium Density,8.83125,8.233245122422876,3.17925,4.037555881786008,0.35325000000000006,-0.13414637303705632,0.05269886403204507
120,large,low,120,High Density,17.6625,18.054279226762105,6.3585,5.601050666963018,0.7065000000000001,0.7209970382138822,-0.10455882172102222
120,large,normal,120,Low Density,35.325,34.981114905735616,12.717,13.107023092250826,1.4130000000000003,1.7091119317914325,-0.2658925680673452
120,large,normal,120,Medium Density,70.65,70.35103751875091,25.434,25.235001709964717,2.8260000000000005,3.6988120539911797,-0.722585315527683
120,large,normal,120,High Density,141.3,140.63417258060358,50.868,50.463272841148466,5.652000000000001,6.270590754977939,-0.048412116786066904
135,small,low,135,Low Density,4.415625,5.47982267331653,1.589625,0.8610772201636074,0.17662500000000003,0.07299267890301693,-0.5520031737312102
135,small,low,135,Medium Density,8.83125,9.95070608609073,3.17925,3.5862584876732506,0.35325000000000006,0.8454313889394035,-0.6359692036018136
135,small,low,135,High Density,17.6625,16.197920712292532,6.3585,6.18569450204087,0.7065000000000001,0.9178457344699888,-0.15107938852341474
135,small,normal,135,Low Density,35.325,34.804275332673306,12.717,13.345662292509616,1.4130000000000003,1.627241162355304,-0.648970345402986
135,small,normal,135,Medium Density,70.65,70.69143301497391,25.434,25.54609021624662,2.8260000000000005,3.2853761681645732,-1.6335568309389512
135,small,normal,135,High Density,141.3,142.83881314515648,50.868,51.6201517426673,5.652000000000001,5.5624629070440905,-0.39551615473636037
135,medium,low,135,Low Density,4.415625,4.486097236864004,1.589625,1.5120971015316327,0.17662500000000003,0.05519698602944765,1.1335157458423069
135,medium,low,135,Medium Density,8.83125,9.659079611410212,3.17925,2.853354068874333,0.35325000000000006,0.4562337944542071,1.104279721966814
135,medium,low,135,High Density,17.6625,18.543301377335577,6.3585,6.546892729600613,0.7065000000000001,0.5224890874943221,0.209038642104208
135,medium,normal,135,Low Density,35.325,34.43659033288583,12.717,12.60430028579591,1.4130000000000003,1.0012925231461294,0.04247107942805041
135,medium,normal,135,Medium Density,70.65,70.20242227102624,25.434,25.441631872759874,2.8260000000000005,2.7302972921839888,-0.29480293277066294
135,medium,normal,135,High Density,141.3,139.17453103192483,50.868,49.47155816215922,5.652000000000001,4.682686212335304,-0.24940911152457845
135,large,low,135,Low Density,4.415625,3.65111621120249,1.589625,1.6959648895770014,0.17662500000000003,0.45193606456918456,-0.15880364472656194
135,large,low,135,Medium Density,8.83125,10.321133753012505,3.17925,3.380173683293584,0.35325000000000006,0.6699350773785911,-0.3928114350684262
135,large,low,135,High Density,17.6625,17.562155279767758,6.3585,6.196322838394121,0.7065000000000001,1.2829316140399287,-0.040955307612418196
135,large,normal,135,Low Density,35.325,35.99229369635043,12.717,13.048381654177414,1.4130000000000003,1.4788106327172645,-1.2120284414686169
135,large,normal,135,Medium Density,70.65,71.16501623341499,25.434,25.517573333907514,2.8260000000000005,3.7000426025245283,-2.274456266966939
135,large,normal,135,High Density,141.3,140.55245036342714,50.868,50.096671620556876,5.652000000000001,5.961647945943249,-0.432523200465944
