VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
100,large,normal,100-motion,High Density,141.3,142.28671339631305,50.868,50.70125889018516,5.652000000000001,5.88206543099132,0.6347702604681291
120,small,low,120-motion,Low Density,4.415625,4.188443491029995,1.589625,0.7184755877364839,0.17662500000000003,-0.06687876408796185,-0.933975930301576
120,small,low,120-motion,Medium Density,8.83125,9.59049105174933,3.17925,2.773610392532,0.35325000000000006,0.28757598681998203,0.46461305240344153
120,small,low,120-motion,High Density,17.6625,17.80606071363803,6.3585,7.006186543118374,0.7065000000000001,0.29419326732491824,-0.0923444416229884
120,small,normal,120-motion,Low Density,35.325,36.0683197776415,12.717,13.204161528322084,1.4130000000000003,1.642088408926792,-0.37345076833868124
120,small,normal,120-motion,Medium Density,70.65,70.7823025709957,25.434,25.94994175034503,2.8260000000000005,2.9253594922394184,-0.1734441564016002
120,small,normal,120-motion,High Density,141.3,141.5903201533087,50.868,50.57710102253239,5.652000000000001,5.68066134128822,-0.05400540391587242
120,medium,low,120-motion,Low Density,4.415625,3.6935280149192673,1.589625,1.7500776858099778,0.17662500000000003,-0.02157766008131494,-0.292404476592235
120,medium,low,120-motion,Medium Density,8.83125,9.142692559192668,3.17925,2.5311953100337274,0.35325000000000006,0.18093158987664384,0.015277686427720694
120,medium,low,120-motion,High Density,17.6625,17.106536273037687,6.3585,6.694942070790903,0.7065000000000001,0.8100189101737221,0.3807236698399219
120,medium,normal,120-motion,Low Density,35.325,35.82338320064815,12.717,12.754989754933213,1.4130000000000003,1.3773640605508521,-0.4615168959693914
120,medium,normal,120-motion,Medium Density,70.65,71.53585901380087,25.434,25.356047583842,2.8260000000000005,2.5610324122873167,-0.5360557738017547
120,medium,normal,120-motion,High Density,141.3,142.11140724176173,50.868,51.49871428961158,5.652000000000001,5.2465403542662425,0.32032192615128485
120,large,low,120-motion,Low Density,4.415625,4.632881367358726,1.589625,1.1406003368213635,0.17662500000000003,0.28997068836816464,-0.6934115776962781
120,large,low,120-motion,Medium Density,8.83125,8.226327909572438,3.17925,3.687557451612909,0.35325000000000006,-0.10954456713850565,-0.10292717188781167
120,large,low,120-motion,High Density,17.6625,18.89940654781911,6.3585,5.4054589947006955,0.7065000000000001,0.8916298995958569,0.7588541137102971
120,large,normal,120-motion,Low Density,35.325,35.27056091052028,12.717,13.284022404927299,1.4130000000000003,1.8861609696093773,-0.10019469024466797
120,large,normal,120-motion,Medium Density,70.65,70.34275842963392,25.434,25.269292820521724,2.8260000000000005,3.6930476251805047,-0.5123868736917514
120,large,normal,120-motion,High Density,141.3,140.68613331929416,50.868,50.81394382040787,5.652000000000001,6.494159339903661,0.24006560623359927
135,small,low,135-motion,Low Density,4.415625,5.306138843664048,1.589625,1.0201753692862505,0.17662500000000003,0.05436108753454767,-0.4819249939071198
135,small,low,135-motion,Medium Density,8.83125,10.023371416751544,3.17925,3.4655530677060185,0.35325000000000006,0.6654258060323317,-0.016274987568417217
135,small,low,135-motion,High Density,17.6625,16.45347123186451,6.3585,6.292193475669971,0.7065000000000001,0.8131174210700156,0.20478722173278083
135,small,normal,135-motion,Low Density,35.325,35.65176916924772,12.717,13.614214713854881,1.4130000000000003,1.2428360559402638,-0.11101439789756695
135,small,normal,135-motion,Medium Density,70.65,71.87857160598807,25.434,25.67816528959997,2.8260000000000005,3.120459418212178,0.2212488992012515
135,small,normal,135-motion,High Density,141.3,143.95404156291048,50.868,51.995065250289976,5.652000000000001,5.122662432433835,-0.21164152103219835
135,medium,low,135-motion,Low Density,4.415625,4.7954832732931285,1.589625,1.5361331755532268,0.17662500000000003,0.10672057258849427,-0.030125460453295956
135,medium,low,135-motion,Medium Density,8.83125,9.607944583042354,3.17925,2.8172812862018537,0.35325000000000006,0.49491356728199354,-0.24240213646007272
135,medium,low,135-motion,High Density,17.6625,18.46598222524101,6.3585,6.693157820271364,0.7065000000000001,0.5462547557815635,0.4565195439846013
135,medium,normal,135-motion,Low Density,35.325,34.765457681067254,12.717,12.672067565856729,1.4130000000000003,0.9642371602756763,0.3227272653490483
135,medium,normal,135-motion,Medium Density,70.65,71.0437695079681,25.434,25.641575524637393,2.8260000000000005,2.741549620874185,0.11805259699846049
135,medium,normal,135-motion,High Density,141.3,140.09745469443067,50.868,50.231739658199466,5.652000000000001,4.42828174307152,-0.07860250049517038
135,large,low,135-motion,Low Density,4.415625,3.76842492575926,1.589625,1.7880972458224527,0.17662500000000003,0.46262170580218664,0.17585253109025495
135,large,low,135-motion,Medium Density,8.83125,10.247330872910979,3.17925,3.426525764303228,0.35325000000000006,0.6412572982460083,-0.3444757084932475
135,large,low,135-motion,High Density,17.6625,17.659897985100525,6.3585,6.398115839204548,0.7065000000000001,1.1248982191060586,0.3956915838525385
135,large,normal,135-motion,Low Density,35.325,37.9888272411774,12.717,12.757852906169411,1.4130000000000003,1.4808153167936098,-0.0669442633370558
135,large,normal,135-motion,Medium Density,70.65,72.93847459545343,25.434,24.144253616780624,2.8260000000000005,3.1071907910296788,0.7812491308230228
135,large,normal,135-motion,High Density,141.3,141.8060557677695,50.868,48.4418635104763,5.652000000000001,4.790530191044418,-0.04494104430051384
