VENDOR,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_agat_large,calculated_agat_medium,calculated_agat_small,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small,mass_bkg
100,medium,low,100-motion,High Density,17.6625,14.669313895143103,6.3585,76.682368,22.385536,0.0,4.275782309235129,0.7065000000000001,0.0,0.0
100,medium,normal,100-motion,Low Density,35.325,35.08895186151014,12.717,182.18016,46.676224,0.0,11.677571327969273,1.4130000000000003,0.0,0.0
100,medium,normal,100-motion,Medium Density,70.65,75.26170832220225,25.434,323.87584000000004,127.645184,2.857728,25.397125061268333,2.8260000000000005,1.1113201830615151,0.0
100,medium,normal,100-motion,High Density,141.3,147.84888253613198,50.868,368.646912,162.890496,21.43296,52.91834978277246,5.652000000000001,4.175537991888094,0.0
100,large,low,100-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
100,large,low,100-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
100,large,low,100-motion,High Density,17.6625,11.808259184795833,6.3585,31.911296,5.001024,0.0,1.805797676082228,0.7065000000000001,0.0,0.0
100,large,normal,100-motion,Low Density,35.325,35.68841867937973,12.717,186.46675199999999,52.867968,0.0,12.672968135400742,1.4130000000000003,0.0,0.0
100,large,normal,100-motion,Medium Density,70.65,75.97688108098426,25.434,337.211904,140.028672,0.0,25.994816610426565,2.8260000000000005,0.0,0.0
100,large,normal,100-motion,High Density,141.3,151.02512198890568,50.868,388.65100799999993,168.605952,18.575232,54.81515676546472,5.652000000000001,4.402028595109151,0.0
120,small,low,120-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
120,small,low,120-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
120,small,low,120-motion,High Density,17.6625,14.599728684498709,6.3585,79.06380800000001,12.859776,0.0,4.3438829773806145,0.7065000000000001,0.0,0.0
120,small,normal,120-motion,Low Density,35.325,37.23786908192009,12.717,200.75539199999997,75.01535999999999,0.0,12.42092306831346,1.4130000000000003,0.0,0.0
120,small,normal,120-motion,Medium Density,70.65,74.47944669280066,25.434,325.780992,137.170944,15.003072,27.603110842621795,2.8260000000000005,2.840733183719206,0.0
120,small,normal,120-motion,High Density,141.3,145.87657602960013,50.868,356.263424,160.985344,37.150464,53.5326155443691,5.652000000000001,5.921990960017396,0.0
120,medium,low,120-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
120,medium,low,120-motion,Medium Density,8.83125,1.3312984197575348,3.17925,4.286592000000001,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
120,medium,low,120-motion,High Density,17.6625,13.661397136517644,6.3585,50.248384,8.573184,0.0,3.0531256282196217,0.7065000000000001,0.0,0.0
120,medium,normal,120-motion,Low Density,35.325,36.94767497759398,12.717,192.182208,73.58649599999998,2.857728,12.818045269819521,1.4130000000000003,0.9069397455452041,0.0
120,medium,normal,120-motion,Medium Density,70.65,75.5358278182097,25.434,312.444928,128.59776,12.859776,26.815440413822074,2.8260000000000005,2.8603063506971487,0.0
120,medium,normal,120-motion,High Density,141.3,147.41271718168366,50.868,347.69024,151.459584,28.577280000000002,52.79286412669406,5.652000000000001,5.2255701985484535,0.0
120,large,low,120-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
120,large,low,120-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
120,large,low,120-motion,High Density,17.6625,14.639457136194308,6.3585,39.770048,11.192768,0.0,3.8594128426562704,0.7065000000000001,0.0,0.0
120,large,normal,120-motion,Low Density,35.325,36.33181693102415,12.717,190.75334399999997,75.01535999999999,0.0,13.418916781845203,1.4130000000000003,0.0,0.0
120,large,normal,120-motion,Medium Density,70.65,74.34598566869192,25.434,305.77689599999997,125.74003200000001,14.288640000000001,26.34409988130587,2.8260000000000005,3.2333737785789056,0.0
120,large,normal,120-motion,High Density,141.3,146.96140984458148,50.868,351.500544,160.032768,37.150464,53.21019429550312,5.652000000000001,6.2040878877411165,0.0
135,small,low,135-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
135,small,low,135-motion,Medium Density,8.83125,0.0,3.17925,0.0,0.0,0.0,0.0,0.35325000000000006,0.0,0.0
135,small,low,135-motion,High Density,17.6625,15.847766887998223,6.3585,88.589568,24.290687999999996,0.0,4.239315523635347,0.7065000000000001,0.0,0.0
135,small,normal,135-motion,Low Density,35.325,37.38072951989691,12.717,207.899712,81.44524799999999,0.0,13.3335777060284,1.4130000000000003,0.0,0.0
135,small,normal,135-motion,Medium Density,70.65,74.59439120531775,25.434,334.354176,141.933824,11.430912,27.32536915457457,2.8260000000000005,2.2780453550466326,0.0
135,small,normal,135-motion,High Density,141.3,150.15598783363913,50.868,385.79328,168.605952,37.150464,54.869211631156304,5.652000000000001,5.482506996251546,0.0
135,medium,low,135-motion,Low Density,4.415625,0.0,1.589625,0.0,0.0,0.0,0.0,0.17662500000000003,0.0,0.0
