VENDER,SIZE,DENSITY,scan,inserts,ground_truth_mass_large,calculated_mass_large,ground_truth_mass_medium,calculated_mass_medium,ground_truth_mass_small,calculated_mass_small
100,small,low,100,High Density,17.6625,21.47638543622581,6.3585,8.913988826209746,0.7065,1.934834293836727
100,small,normal,100,Low Density,35.325,40.265664116411344,12.717,16.44686225344413,1.413,2.1889144479135094
100,small,normal,100,Medium Density,70.65,75.86833260676963,25.434,30.994809931195594,2.826,4.243465403199469
100,small,normal,100,High Density,141.3,148.59646640989536,50.868,56.80759098038109,5.652,7.327967001161802
100,medium,low,100,Low Density,4.415625,10.55589525749291,1.589625,35.365919793883165,0.176625,10.91959287186828
100,medium,low,100,Medium Density,8.83125,19.085128812965433,3.17925,40.39368026207899,0.35325,16.285674391235247
100,medium,low,100,High Density,17.6625,26.948332424223434,6.3585,37.933647314468374,0.7065,8.987060235777419
100,medium,normal,100,Low Density,35.325,44.418031556722,12.717,21.086289086354334,1.413,12.825155516917679
100,medium,normal,100,Medium Density,70.65,78.95938329538157,25.434,89.56767541024995,2.826,8.30123411399523
100,medium,normal,100,High Density,141.3,148.0094877582122,50.868,99.96417366187197,5.652,8.308169774122666
100,large,low,100,Low Density,4.415625,18.676457397949044,1.589625,19.66265815317728,0.176625,13.437172353860934
100,large,low,100,Medium Density,8.83125,26.39845420671644,3.17925,52.776966636227755,0.35325,11.318509798011373
100,large,low,100,High Density,17.6625,33.512867545646706,6.3585,28.88715201543352,0.7065,10.05523997384419
100,large,normal,100,Low Density,35.325,46.28109947828302,12.717,76.96302865897434,1.413,20.098271129299775
100,large,normal,100,Medium Density,70.65,83.23145281263878,25.434,70.31175094259973,2.826,10.727223706346562
100,large,normal,100,High Density,141.3,152.11951911103966,50.868,68.14512532636277,5.652,14.642904767606035
120,small,low,120,Low Density,4.415625,30.07708502242204,1.589625,2.361729428899049,0.176625,1.1304004104132206
120,small,low,120,Medium Density,8.83125,13.977490789077756,3.17925,7.140995869984357,0.35325,5.763458899255305
120,small,low,120,High Density,17.6625,21.467158718427203,6.3585,8.726439523893568,0.7065,0.9366174829138111
120,small,normal,120,Low Density,35.325,39.346629670152474,12.717,25.562722894474774,1.413,3.7329072376554224
120,small,normal,120,Medium Density,70.65,75.83181912881292,25.434,29.758516658258536,2.826,4.765967612727504
120,small,normal,120,High Density,141.3,147.55598091623094,50.868,71.39768894748966,5.652,7.008271452048351
120,medium,low,120,Low Density,4.415625,22.52678056735098,1.589625,30.21244197097046,0.176625,16.657831235270997
120,medium,low,120,Medium Density,8.83125,22.679450808854057,3.17925,30.853945752006922,0.35325,8.704752391352226
120,medium,low,120,High Density,17.6625,27.907058545162442,6.3585,31.257737827635914,0.7065,16.550105060028756
120,medium,normal,120,Low Density,35.325,43.111892691370784,12.717,44.02151611494534,1.413,11.618617628572508
120,medium,normal,120,Medium Density,70.65,79.97720967297613,25.434,46.666374490665284,2.826,16.716312357101824
120,medium,normal,120,High Density,141.3,150.56450731091445,50.868,58.86973530850935,5.652,11.28041715193097
120,large,low,120,Low Density,4.415625,22.210046907173055,1.589625,22.491347546485642,0.176625,26.819504322858347
120,large,low,120,Medium Density,8.83125,33.54479872084843,3.17925,30.276429573206944,0.35325,13.428179172653063
120,large,low,120,High Density,17.6625,35.615307052625326,6.3585,28.254433519454434,0.7065,15.658441950461082
120,large,normal,120,Low Density,35.325,45.52066192018608,12.717,28.27607039714959,1.413,10.559462065317316
120,large,normal,120,Medium Density,70.65,80.5730906713392,25.434,41.327605958697646,2.826,13.734424210799835
120,large,normal,120,High Density,141.3,145.2932980981559,50.868,84.66737202368691,5.652,26.694166679694902
135,small,low,135,Low Density,4.415625,6.408073535567775,1.589625,12.128052880881565,0.176625,2.2188916146402122
135,small,low,135,Medium Density,8.83125,12.66490647625692,3.17925,5.320962751261715,0.35325,1.5868739880677676
135,small,low,135,High Density,17.6625,22.764139013959156,6.3585,18.430328527636966,0.7065,1.507580263700745
135,small,normal,135,Low Density,35.325,40.97628506394752,12.717,27.150956728327316,1.413,5.8145954811574025
135,small,normal,135,Medium Density,70.65,77.27535758580004,25.434,30.151972322304587,2.826,5.489341286143514
135,small,normal,135,High Density,141.3,148.2888676125359,50.868,82.41854050154055,5.652,6.939866716660004
135,medium,low,135,Low Density,4.415625,14.253183418309025,1.589625,12.196093350208518,0.176625,13.567107745185522
135,medium,low,135,Medium Density,8.83125,21.71925316195338,3.17925,31.617061815702076,0.35325,22.98476026861097
135,medium,low,135,High Density,17.6625,27.10730859236265,6.3585,28.784467216727897,0.7065,21.090330999910186
135,medium,normal,135,Low Density,35.325,45.04478306907456,12.717,22.16373760042394,1.413,13.330658713491006
135,medium,normal,135,Medium Density,70.65,81.12101637767566,25.434,47.086185485690024,2.826,15.696412146855304
